bin,effdata5-10,errdata5-10,effMC5-10,errMC5-10,SF5-10,errSF5-10,effdata10-20,errdata10-20,effMC10-20,errMC10-20,SF10-20,errSF10-20,effdata20-30,errdata20-30,effMC20-30,errMC20-30,SF20-30,errSF20-30,effdata30-40,errdata30-40,effMC30-40,errMC30-40,SF30-40,errSF30-40,effdata40-60,errdata40-60,effMC40-60,errMC40-60,SF40-60,errSF40-60,effdata60-100,errdata60-100,effMC60-100,errMC60-100,SF60-100,errSF60-100
-2.4 to -1.5,0.999155162,0.050773831,0.543732513,0.003958448,1.837585834,0.094333571,0.940898135,0.014715693,0.773852926,0.001565518,1.215861701,0.019174556,0.888137353,0.005124827,0.826926165,0.000856293,1.074022556,0.006296444,0.888018939,0.002587758,0.826926165,0.000856293,1.073879358,0.003321074,0.910088037,0.001237054,0.920753336,0.00029502,0.988416769,0.001380346,0.919575384,0.012216947,0.904947581,0.001557026,1.016164254,0.013612915
-1.5 to -0.8,0.617397766,0.099559576,0.545286774,0.005356484,1.132244162,0.182920502,0.833432158,0.014377666,0.736833988,0.001746046,1.131098961,0.01969599,0.867981165,0.004933741,0.822296335,0.000832572,1.055557624,0.006094397,0.903991418,0.002136524,0.909358846,0.000353628,0.994097569,0.002381075,0.938206835,0.000865411,0.946047476,0.000213082,0.991712212,0.000941641,0.94502898,0.006534465,0.946659698,0.001025811,0.998277398,0.006986903
-0.8 to 0.8,0.802742848,0.078219035,0.571305202,0.00477884,1.405103341,0.137416432,0.778918016,0.015820048,0.765467784,0.0010887,1.017571258,0.020717775,0.858094515,0.002613986,0.844709807,0.000462549,1.015845333,0.003144135,0.904159866,0.001066505,0.920264026,0.000194146,0.9825005,0.001177302,0.940210445,0.000492374,0.951740703,0.000121171,0.987885086,0.000532409,0.941942421,0.003236622,0.94794237,0.000601374,0.993670554,0.003472071
0.8 to 1.5,0.404663761,0.153050193,0.543345915,0.005308796,0.744762682,0.281774925,0.821624448,0.015023659,0.739406964,0.001740012,1.111193819,0.0204861,0.86583457,0.00503502,0.821495709,0.000834984,1.053973333,0.006222006,0.898905381,0.002144768,0.908575949,0.000356565,0.989356346,0.0023923,0.938440198,0.000880832,0.94643752,0.000212403,0.99155008,0.000956915,0.950852875,0.006799693,0.944400171,0.001039518,1.006832596,0.007284804
1.5 to 2.4,0.999019294,0.065107514,0.510099912,0.003870422,1.958477684,0.128498918,0.943696769,0.031614188,0.760106572,0.001588043,1.24153218,0.041672587,0.878135703,0.006123746,0.81692561,0.000869219,1.074927376,0.007582839,0.882542376,0.002621267,0.88566654,0.004094027,0.996472528,0.005475119,0.905240693,0.001288137,0.915413122,0.000305555,0.988887609,0.00144536,0.910009817,0.01142353,0.900344909,0.001588103,1.010734674,0.012812591
